Time_s,Temp_Internal,Temp_External,Voltage,Resistance,Label
0.0,26.87,17.86,3.2159,0.2082,0
1.0,26.32,17.86,3.1953,0.2111,0
2.0,26.9,17.86,3.2092,0.2093,0
3.0,26.52,17.85,3.2027,0.2062,0
4.0,27.48,17.86,3.208,0.1891,0
5.0,26.72,17.86,3.2063,0.2024,0
6.0,27.0,17.86,3.2151,0.2145,0
7.0,27.52,17.87,3.2144,0.2028,0
8.0,27.51,17.87,3.1949,0.2325,0
9.0,27.69,17.88,3.1985,0.2005,0
10.0,27.12,17.88,3.2129,0.1919,0
11.0,27.98,17.89,3.2204,0.2067,0
12.0,27.06,17.9,3.215,0.2376,0
13.0,27.64,17.9,3.2108,0.2011,0
14.0,27.83,17.91,3.1949,0.2174,0
15.0,27.74,17.92,3.2265,0.2028,0
16.0,27.6,17.93,3.2046,0.2068,0
17.0,28.02,17.94,3.2157,0.1984,0
18.0,27.91,17.95,3.2198,0.1962,0
19.0,28.71,17.97,3.2269,0.2086,0
20.0,28.89,17.99,3.2131,0.2036,0
21.0,28.91,18.01,3.2219,0.2024,0
22.0,28.73,18.03,3.2104,0.187,0
23.0,28.72,18.05,3.206,0.2167,0
24.0,28.94,18.06,3.196,0.1899,0
25.0,29.34,18.09,3.206,0.2082,0
26.0,28.45,18.1,3.215,0.211,0
27.0,29.45,18.13,3.218,0.2108,0
28.0,28.9,18.14,3.207,0.1917,0
29.0,29.15,18.17,3.1965,0.2067,0
30.0,29.59,18.19,3.2077,0.1985,0
31.0,29.67,18.22,3.1993,0.2058,0
32.0,29.69,18.24,3.2018,0.1996,0
33.0,29.6,18.27,3.2109,0.2212,0
34.0,29.83,18.29,3.2122,0.2045,0
35.0,29.88,18.32,3.2129,0.2046,0
36.0,30.85,18.35,3.2146,0.1932,0
37.0,30.24,18.38,3.2104,0.208,0
38.0,30.5,18.42,3.2015,0.2005,0
39.0,30.77,18.45,3.2024,0.1964,0
40.0,30.38,18.48,3.1986,0.2207,0
41.0,30.37,18.51,3.2256,0.2064,0
42.0,31.34,18.55,3.2142,0.2079,0
