Time_s,Temp_Internal,Temp_External,Voltage,Resistance,Label
0.0,25.13,16.57,3.3813,0.4053,0
1.0,26.19,16.6,3.3948,0.3699,0
2.0,25.93,16.63,3.3909,0.4156,0
3.0,25.15,16.63,3.4112,0.4131,0
4.0,25.77,16.65,3.3942,0.4015,0
5.0,25.15,16.64,3.4156,0.3959,0
6.0,25.07,16.64,3.3942,0.3734,0
7.0,25.62,16.65,3.3983,0.3901,0
8.0,25.32,16.65,3.3899,0.3931,0
9.0,23.16,16.58,3.4012,0.3927,0
10.0,26.62,16.63,3.4036,0.3963,0
11.0,25.75,16.65,3.4038,0.3946,0
12.0,27.33,16.72,3.3986,0.4138,0
13.0,25.05,16.71,3.4028,0.4012,0
14.0,25.79,16.73,3.4123,0.3864,0
15.0,26.46,16.77,3.3905,0.3857,0
16.0,26.65,16.81,3.3878,0.409,0
17.0,26.53,16.85,3.3872,0.4014,0
18.0,26.76,16.89,3.394,0.4126,0
19.0,26.99,16.94,3.4076,0.4055,0
20.0,26.64,16.97,3.4079,0.3941,0
21.0,26.73,17.01,3.3874,0.4001,0
22.0,27.88,17.08,3.4149,0.4003,0
23.0,27.7,17.15,3.4012,0.3932,0
24.0,27.19,17.19,3.3948,0.3939,0
25.0,27.41,17.24,3.3819,0.3977,0
26.0,26.85,17.27,3.415,0.3867,0
27.0,27.32,17.31,3.3758,0.4047,0
28.0,26.83,17.33,3.3999,0.4062,0
29.0,26.48,17.34,3.3941,0.4099,0
30.0,27.64,17.39,3.4009,0.4074,0
31.0,27.82,17.45,3.3975,0.4055,0
32.0,27.68,17.49,3.3939,0.3901,0
33.0,28.17,17.56,3.3959,0.4063,0
34.0,28.17,17.61,3.3917,0.3938,0
35.0,29.31,17.71,3.4013,0.4077,0
36.0,29.84,17.82,3.4,0.3727,0
37.0,27.81,17.85,3.3953,0.3991,0
38.0,30.9,17.99,3.392,0.3873,0
39.0,27.79,18.01,3.4051,0.395,0
40.0,27.65,18.03,3.4019,0.3828,0
41.0,29.8,18.12,3.3878,0.4039,0
42.0,29.52,18.2,3.408,0.3881,0
43.0,28.45,18.24,3.4005,0.3965,0
44.0,29.35,18.3,3.3933,0.4024,0
45.0,29.32,18.37,3.4062,0.409,0
46.0,30.41,18.46,3.42,0.4032,0
47.0,31.37,18.59,3.4017,0.3986,0
48.0,30.0,18.66,3.3956,0.388,0
49.0,28.16,18.67,3.3903,0.3932,0
50.0,30.96,18.77,3.3865,0.3964,0
51.0,30.77,18.86,3.3955,0.3909,0
52.0,28.92,18.88,3.3922,0.3923,0
53.0,28.96,18.9,3.3906,0.3859,0
54.0,29.46,18.94,3.4117,0.3983,0
55.0,30.8,19.02,3.3862,0.4105,0
56.0,30.33,19.09,3.4064,0.3909,0
57.0,31.94,19.2,3.4124,0.3902,0
58.0,30.91,19.28,3.3987,0.3861,0
59.0,31.6,19.37,3.3991,0.4002,0
60.0,30.15,19.41,3.3901,0.4089,0
61.0,30.26,19.45,3.3697,0.3834,0
62.0,32.2,19.56,3.4151,0.4075,0
63.0,31.5,19.64,3.3934,0.4156,0
64.0,32.19,19.73,3.395,0.3851,0
65.0,30.97,19.78,3.401,0.3934,0
66.0,32.24,19.88,3.3926,0.3984,0
67.0,32.49,19.97,3.3854,0.405,0
68.0,32.45,20.06,3.3995,0.3991,0
69.0,31.52,20.12,3.4122,0.3797,0
70.0,31.44,20.17,3.4047,0.4064,0
71.0,32.46,20.25,3.4207,0.3975,0
72.0,33.61,20.36,3.3881,0.4082,0
73.0,34.06,20.49,3.3994,0.4105,0
74.0,32.66,20.57,3.3995,0.3856,0
75.0,31.41,20.59,3.395,0.4069,0
76.0,31.32,20.61,3.3791,0.3969,0
77.0,32.23,20.66,3.3921,0.4063,0
78.0,33.01,20.74,3.3967,0.4043,0
79.0,33.67,20.84,3.4007,0.3786,0
80.0,34.22,20.95,3.3901,0.3884,0
81.0,31.81,20.97,3.384,0.3967,0
82.0,34.51,21.08,3.3913,0.3968,0
83.0,32.83,21.13,3.4008,0.3844,0
84.0,33.35,21.2,3.3947,0.3827,0
85.0,34.35,21.3,3.3908,0.4075,0
86.0,35.92,21.44,3.3819,0.4148,0
87.0,34.09,21.52,3.3821,0.3835,0
88.0,34.26,21.6,3.392,0.4047,0
89.0,33.78,21.66,3.3913,0.402,0
90.0,35.02,21.76,3.3994,0.3901,0
91.0,34.76,21.84,3.3863,0.3852,0
92.0,34.21,21.9,3.4083,0.3916,0
93.0,35.2,22.0,3.3945,0.4092,0
94.0,36.13,22.12,3.4114,0.4082,0
95.0,34.28,22.17,3.3967,0.4032,0
96.0,36.88,22.31,3.4006,0.3919,0
97.0,34.86,22.37,3.3999,0.4122,0
98.0,34.92,22.43,3.4081,0.3975,0
99.0,33.62,22.44,3.4027,0.3821,0
100.0,35.75,22.53,3.3958,0.4033,0
101.0,34.85,22.58,3.4025,0.4056,0
102.0,37.1,22.71,3.4095,0.4138,0
103.0,37.47,22.84,3.4075,0.4104,0
104.0,34.8,22.88,3.3828,0.3906,0
105.0,35.33,22.93,3.3742,0.3918,0
106.0,35.11,22.97,3.3927,0.3914,0
107.0,37.08,23.07,3.3999,0.3895,0
108.0,35.8,23.13,3.3948,0.3954,0
109.0,35.77,23.19,3.3974,0.4053,0
110.0,34.64,23.2,3.389,0.408,0
111.0,36.77,23.28,3.4108,0.3919,0
112.0,36.69,23.36,3.3948,0.3902,0
113.0,36.6,23.43,3.3977,0.3915,0
114.0,37.92,23.55,3.3959,0.4027,0
115.0,37.28,23.63,3.4112,0.3943,0
116.0,36.94,23.7,3.3998,0.4011,0
117.0,37.41,23.79,3.3945,0.4036,0
118.0,37.87,23.88,3.4124,0.407,0
119.0,38.07,23.98,3.3952,0.3841,0
120.0,36.51,24.02,3.386,0.3987,0
121.0,38.19,24.11,3.3989,0.3919,0
122.0,37.76,24.19,3.387,0.4009,0
123.0,38.88,24.3,3.3853,0.3975,0
124.0,37.22,24.35,3.3899,0.4013,0
125.0,37.84,24.42,3.3948,0.3956,0
126.0,37.49,24.47,3.4083,0.3877,0
127.0,38.2,24.54,3.4026,0.3804,0
128.0,38.79,24.63,3.4027,0.3895,0
129.0,39.25,24.74,3.3902,0.3737,0
130.0,39.37,24.84,3.4001,0.4035,0
