Time_s,Temp_Internal,Temp_External,Voltage,Resistance,Label
0.0,20.37,12.42,3.3666,0.3298,0
1.0,20.88,12.42,3.3812,0.3146,0
2.0,21.54,12.44,3.3998,0.3115,0
3.0,20.79,12.44,3.3679,0.3071,0
4.0,21.4,12.46,3.4109,0.3152,0
5.0,19.91,12.45,3.3643,0.3094,0
6.0,22.32,12.47,3.369,0.3064,0
7.0,21.09,12.48,3.3837,0.308,0
8.0,22.46,12.51,3.3757,0.3173,0
9.0,22.24,12.53,3.3667,0.3109,0
10.0,21.91,12.55,3.3772,0.3252,0
11.0,22.02,12.56,3.3601,0.3065,0
12.0,22.06,12.58,3.3795,0.3135,0
13.0,22.6,12.61,3.3747,0.3128,0
14.0,21.97,12.63,3.3559,0.3165,0
15.0,22.56,12.65,3.3854,0.3246,0
16.0,22.05,12.67,3.3623,0.3146,0
17.0,24.48,12.71,3.3825,0.2971,0
18.0,22.88,12.74,3.3565,0.3242,0
19.0,23.13,12.77,3.3781,0.306,0
20.0,23.25,12.8,3.3864,0.3011,0
21.0,23.41,12.83,3.3771,0.3177,0
22.0,23.34,12.86,3.386,0.3144,0
23.0,23.82,12.9,3.371,0.3159,0
24.0,22.19,12.91,3.3869,0.3279,0
25.0,23.31,12.94,3.3582,0.3132,0
26.0,24.11,12.98,3.3616,0.308,0
27.0,23.09,13.0,3.3843,0.3075,0
28.0,22.66,13.02,3.3845,0.3125,0
29.0,23.61,13.05,3.3747,0.3181,0
30.0,24.77,13.1,3.3706,0.3211,0
31.0,23.94,13.13,3.3748,0.3189,0
32.0,23.93,13.16,3.3608,0.3258,0
33.0,23.59,13.19,3.3749,0.3117,0
34.0,24.54,13.23,3.3765,0.3177,0
35.0,24.27,13.26,3.369,0.3071,0
36.0,23.91,13.29,3.3708,0.3241,0
37.0,24.69,13.33,3.3809,0.3007,0
38.0,25.06,13.37,3.3808,0.3097,0
39.0,25.23,13.42,3.3757,0.3063,0
40.0,24.96,13.46,3.3735,0.3168,0
41.0,25.87,13.51,3.3843,0.3248,0
42.0,24.97,13.55,3.3737,0.3012,0
43.0,25.57,13.6,3.3762,0.3189,0
44.0,26.33,13.65,3.3593,0.3234,0
45.0,25.52,13.69,3.3694,0.3126,0
46.0,26.95,13.75,3.3731,0.3133,0
47.0,26.85,13.81,3.3848,0.2994,0
48.0,26.56,13.87,3.3733,0.3097,0
49.0,26.89,13.92,3.3821,0.3138,0
50.0,26.62,13.98,3.3715,0.3146,0
51.0,26.3,14.02,3.3803,0.3212,0
52.0,27.15,14.08,3.3776,0.3136,0
53.0,27.79,14.15,3.3756,0.3017,0
54.0,26.38,14.19,3.3876,0.316,0
55.0,26.6,14.24,3.385,0.3228,0
56.0,25.5,14.27,3.3806,0.311,0
57.0,27.08,14.32,3.3827,0.3072,0
58.0,26.11,14.36,3.37,0.295,0
59.0,26.42,14.41,3.3683,0.3245,0
60.0,26.94,14.45,3.3845,0.3115,0
61.0,27.19,14.5,3.3861,0.3245,0
62.0,28.09,14.57,3.3823,0.3059,0
63.0,28.11,14.63,3.3803,0.3111,0
64.0,29.06,14.7,3.3928,0.2964,0
65.0,28.09,14.75,3.361,0.31,0
66.0,27.41,14.8,3.3682,0.3149,0
67.0,28.23,14.86,3.363,0.3165,0
68.0,28.52,14.92,3.3693,0.3245,0
69.0,27.57,14.97,3.379,0.3153,0
70.0,29.0,15.03,3.3825,0.2947,0
71.0,29.26,15.1,3.3688,0.3264,0
72.0,28.89,15.16,3.3618,0.3183,0
73.0,29.24,15.22,3.3729,0.3027,0
74.0,29.31,15.29,3.3934,0.3155,0
75.0,28.39,15.34,3.3604,0.3252,0
76.0,30.41,15.42,3.3903,0.2971,0
77.0,29.04,15.47,3.3822,0.3065,0
78.0,28.14,15.52,3.3898,0.3036,0
79.0,29.22,15.58,3.3785,0.2966,0
80.0,29.69,15.64,3.3806,0.3198,0
81.0,28.77,15.69,3.3845,0.3142,0
82.0,29.93,15.75,3.3716,0.3228,0
83.0,30.96,15.83,3.3717,0.3288,0
84.0,30.11,15.89,3.3694,0.3122,0
85.0,30.19,15.96,3.3698,0.3082,0
86.0,29.64,16.01,3.3733,0.3039,0
87.0,30.8,16.08,3.3579,0.3233,0
88.0,31.16,16.15,3.3831,0.3206,0
89.0,30.75,16.22,3.3723,0.3176,0
90.0,31.74,16.3,3.3824,0.3174,0
91.0,31.78,16.37,3.3724,0.3285,0
92.0,31.05,16.44,3.3651,0.3112,0
93.0,30.17,16.49,3.3849,0.3205,0
94.0,32.64,16.58,3.3544,0.3137,0
95.0,31.67,16.65,3.3981,0.2955,0
96.0,31.6,16.72,3.388,0.3088,0
97.0,31.77,16.78,3.373,0.2964,0
98.0,31.39,16.85,3.3658,0.3199,0
99.0,32.27,16.92,3.3741,0.3172,0
100.0,32.75,17.0,3.3766,0.312,0
101.0,32.44,17.07,3.3674,0.3134,0
102.0,31.43,17.13,3.3843,0.3286,0
103.0,32.02,17.2,3.3971,0.3249,0
104.0,31.85,17.26,3.3735,0.3102,0
105.0,32.52,17.33,3.396,0.3123,0
106.0,31.96,17.39,3.3832,0.3124,0
107.0,32.33,17.45,3.369,0.3237,0
108.0,32.14,17.51,3.3764,0.314,0
109.0,32.47,17.58,3.3729,0.3151,0
110.0,32.34,17.64,3.3699,0.3115,0
111.0,33.2,17.71,3.3889,0.3189,0
112.0,32.47,17.77,3.3681,0.3023,0
113.0,33.24,17.84,3.3699,0.3172,0
114.0,32.4,17.9,3.3897,0.3083,0
115.0,33.05,17.97,3.3711,0.3046,0
116.0,33.95,18.04,3.3818,0.3155,0
117.0,32.56,18.1,3.3667,0.3094,0
118.0,33.66,18.17,3.3686,0.3145,0
119.0,33.16,18.23,3.374,0.3144,0
120.0,34.64,18.31,3.3609,0.3094,0
121.0,33.25,18.37,3.3726,0.3299,0
122.0,34.64,18.44,3.384,0.3217,0
123.0,34.75,18.52,3.3601,0.321,0
124.0,34.46,18.59,3.3741,0.3021,0
125.0,34.22,18.66,3.3775,0.3115,0
126.0,34.65,18.73,3.3669,0.3237,0
127.0,34.53,18.8,3.3631,0.3141,0
128.0,34.91,18.88,3.378,0.3096,0
129.0,34.93,18.95,3.3866,0.3128,0
130.0,35.15,19.02,3.37,0.3167,0
131.0,34.67,19.09,3.3695,0.3042,0
132.0,34.67,19.15,3.3768,0.3233,0
133.0,36.02,19.23,3.3809,0.3071,0
134.0,36.05,19.31,3.3762,0.3187,0
135.0,36.61,19.4,3.3809,0.3275,0
136.0,35.11,19.46,3.3778,0.3244,0
137.0,34.9,19.52,3.3869,0.3065,0
138.0,35.39,19.59,3.3716,0.3163,0
139.0,36.15,19.67,3.3848,0.3267,0
140.0,35.89,19.74,3.3617,0.3037,0
141.0,36.27,19.81,3.3814,0.2996,0
142.0,36.93,19.89,3.3767,0.3219,0
143.0,35.94,19.96,3.3708,0.3059,0
144.0,37.42,20.04,3.3848,0.3165,0
145.0,36.08,20.11,3.3854,0.3166,0
146.0,36.81,20.18,3.3728,0.3265,0
147.0,36.97,20.26,3.3896,0.3143,0
148.0,36.81,20.33,3.3799,0.3186,0
149.0,36.52,20.4,3.357,0.3286,0
150.0,37.33,20.47,3.3957,0.3137,0
151.0,36.8,20.54,3.3865,0.3119,0
152.0,36.37,20.6,3.3785,0.3296,0
153.0,37.09,20.67,3.3704,0.3015,0
154.0,37.92,20.75,3.3708,0.3157,0
155.0,38.33,20.83,3.3833,0.3098,0
156.0,36.29,20.89,3.3786,0.2966,0
157.0,38.37,20.97,3.3628,0.3046,0
158.0,37.89,21.04,3.3725,0.3114,0
159.0,38.56,21.12,3.3704,0.3175,0
160.0,37.74,21.19,3.3804,0.3137,0
161.0,38.38,21.27,3.388,0.3126,0
162.0,38.54,21.34,3.3669,0.3146,0
163.0,38.92,21.42,3.3758,0.3166,0
164.0,38.35,21.49,3.3631,0.3124,0
165.0,38.56,21.56,3.3684,0.3138,0
166.0,39.58,21.65,3.3661,0.3026,0
167.0,39.58,21.73,3.3776,0.3256,0
168.0,39.89,21.82,3.376,0.2894,0
169.0,39.77,21.9,3.3835,0.3299,0
170.0,39.84,21.98,3.377,0.3162,0
171.0,39.67,22.06,3.3905,0.2997,0
172.0,39.7,22.14,3.3741,0.3215,0
173.0,39.85,22.21,3.3703,0.3104,0
174.0,39.69,22.29,3.3744,0.3087,0
175.0,40.63,22.37,3.375,0.3326,0
176.0,39.67,22.44,3.3733,0.3165,0
177.0,39.76,22.51,3.3598,0.3035,0
178.0,40.61,22.6,3.3771,0.3114,0
179.0,40.32,22.67,3.3719,0.3159,0
180.0,40.88,22.75,3.3785,0.3079,0
181.0,40.77,22.83,3.3637,0.3166,0
182.0,39.88,22.9,3.3699,0.2963,0
183.0,40.17,22.97,3.392,0.3118,0
184.0,40.3,23.03,3.3816,0.3086,0
185.0,40.74,23.11,3.3914,0.3093,0
186.0,40.46,23.18,3.3599,0.3195,0
187.0,40.92,23.25,3.3833,0.3098,0
188.0,41.55,23.33,3.3883,0.3149,0
189.0,42.02,23.41,3.3817,0.3294,0
190.0,41.69,23.49,3.3779,0.3004,0
191.0,41.19,23.56,3.3769,0.31,0
192.0,41.67,23.64,3.3794,0.311,0
193.0,41.12,23.71,3.3664,0.3155,0
194.0,42.32,23.79,3.372,0.3156,0
195.0,42.08,23.87,3.3698,0.3215,0
196.0,42.08,23.94,3.3753,0.2919,0
197.0,43.75,24.04,3.3778,0.3205,0
198.0,42.61,24.12,3.3773,0.3278,0
199.0,42.91,24.2,3.3718,0.3053,0
200.0,42.84,24.28,3.3801,0.3111,0
201.0,42.4,24.35,3.3725,0.3083,0
202.0,42.91,24.43,3.3643,0.3339,0
203.0,43.41,24.51,3.3748,0.3138,0
204.0,42.85,24.59,3.3819,0.3142,0
205.0,43.62,24.67,3.3901,0.299,0
206.0,43.25,24.75,3.3667,0.2942,0
207.0,43.83,24.83,3.3716,0.3109,0
208.0,43.15,24.9,3.3823,0.3087,0
209.0,44.35,24.99,3.3754,0.3187,0
210.0,43.73,25.07,3.377,0.3091,0
211.0,44.22,25.15,3.3716,0.319,0
212.0,43.87,25.23,3.3643,0.3018,0
213.0,44.47,25.31,3.3716,0.3324,0
214.0,45.06,25.4,3.3802,0.3329,0
215.0,43.96,25.47,3.3967,0.3163,0
216.0,44.47,25.55,3.3748,0.3041,0
217.0,45.14,25.63,3.3693,0.3189,0
218.0,45.44,25.72,3.3772,0.3251,0
219.0,44.49,25.8,3.3728,0.3248,0
220.0,44.75,25.87,3.3788,0.3229,0
221.0,44.86,25.95,3.3681,0.302,0
222.0,44.11,26.01,3.3765,0.3058,0
223.0,45.34,26.09,3.369,0.3168,0
224.0,45.66,26.18,3.3669,0.3052,0
225.0,45.2,26.25,3.3763,0.3222,0
226.0,44.39,26.32,3.3736,0.3208,0
