Time_s,Temp_Internal,Temp_External,Voltage,Resistance,Label
0.0,28.3,16.29,3.2924,0.2025,0
1.0,28.68,16.3,3.2881,0.1842,0
2.0,28.66,16.31,3.312,0.1983,0
3.0,28.98,16.33,3.3198,0.2039,0
4.0,28.81,16.34,3.2968,0.1939,0
5.0,29.09,16.36,3.3108,0.2028,0
6.0,29.22,16.38,3.3086,0.1824,0
7.0,29.62,16.41,3.309,0.1905,0
8.0,29.5,16.44,3.3081,0.189,0
9.0,29.48,16.46,3.2906,0.2275,0
10.0,29.62,16.49,3.3052,0.1981,0
11.0,29.81,16.52,3.2957,0.2025,0
12.0,29.62,16.54,3.3005,0.2018,0
13.0,29.8,16.57,3.3048,0.2045,0
14.0,29.75,16.6,3.3034,0.1876,0
15.0,29.75,16.62,3.3135,0.196,0
16.0,29.77,16.65,3.3033,0.2265,0
17.0,30.36,16.69,3.3074,0.21,0
18.0,29.87,16.71,3.2992,0.1973,0
19.0,30.07,16.74,3.3146,0.2186,0
20.0,30.25,16.78,3.3109,0.2,0
21.0,30.05,16.8,3.2982,0.2,0
22.0,29.86,16.82,3.3161,0.2167,0
23.0,30.15,16.85,3.3019,0.1986,0
24.0,30.98,16.9,3.2947,0.2126,0
25.0,30.62,16.94,3.2897,0.1975,0
26.0,30.47,16.97,3.2919,0.2018,0
27.0,30.17,16.99,3.302,0.2046,0
28.0,30.62,17.02,3.3132,0.2094,0
29.0,30.35,17.05,3.2976,0.2222,0
30.0,30.55,17.08,3.2974,0.2068,0
31.0,30.72,17.11,3.3156,0.1941,0
32.0,31.16,17.15,3.2912,0.203,0
33.0,31.58,17.21,3.3187,0.1934,0
34.0,31.05,17.24,3.3207,0.1948,0
35.0,31.44,17.29,3.3118,0.1997,0
36.0,30.97,17.32,3.3138,0.2044,0
37.0,30.96,17.35,3.3031,0.2072,0
38.0,30.54,17.37,3.3075,0.2161,0
39.0,31.26,17.41,3.2857,0.1792,0
40.0,31.62,17.45,3.2907,0.2124,0
41.0,31.38,17.49,3.32,0.1993,0
42.0,31.45,17.52,3.3009,0.2092,0
43.0,31.37,17.56,3.3029,0.1897,0
44.0,32.31,17.61,3.3032,0.192,0
45.0,31.43,17.64,3.2886,0.2148,0
46.0,31.85,17.69,3.3,0.1995,0
47.0,32.11,17.73,3.3082,0.2022,0
48.0,31.82,17.77,3.3,0.1825,0
49.0,31.89,17.81,3.3122,0.2004,0
