Time_s,Temp_Internal,Temp_External,Voltage,Resistance,Label
0.0,28.9,16.36,3.2361,0.2309,0
1.0,28.9,16.36,3.2289,0.2598,0
2.0,28.23,16.35,3.2301,0.2447,0
3.0,28.49,16.35,3.2414,0.2448,0
4.0,28.89,16.35,3.2366,0.2522,0
5.0,28.73,16.35,3.2324,0.2345,0
6.0,28.99,16.35,3.2359,0.2623,0
7.0,27.97,16.34,3.2243,0.2497,0
8.0,29.0,16.34,3.2315,0.2372,0
9.0,28.78,16.34,3.2234,0.248,0
10.0,28.67,16.34,3.2291,0.258,0
11.0,28.99,16.34,3.2307,0.2406,0
12.0,28.86,16.34,3.2103,0.2699,0
13.0,29.21,16.34,3.221,0.2612,0
14.0,29.53,16.35,3.23,0.2356,0
15.0,29.68,16.36,3.2574,0.2497,0
16.0,29.45,16.36,3.2371,0.2365,0
17.0,29.44,16.37,3.2354,0.2434,0
18.0,29.33,16.37,3.2232,0.2375,0
19.0,29.42,16.38,3.2166,0.2478,0
20.0,29.58,16.38,3.2312,0.2208,0
21.0,29.19,16.39,3.2303,0.2567,0
22.0,29.71,16.39,3.2309,0.2381,0
23.0,30.14,16.41,3.2412,0.2506,0
24.0,29.8,16.42,3.2248,0.2282,0
25.0,30.07,16.43,3.2279,0.2433,0
26.0,29.79,16.44,3.2295,0.238,0
27.0,30.16,16.45,3.2202,0.256,0
28.0,30.38,16.46,3.2253,0.2524,0
29.0,29.7,16.47,3.2347,0.2448,0
30.0,30.54,16.48,3.2331,0.2474,0
31.0,30.38,16.5,3.2264,0.2235,0
32.0,30.87,16.52,3.2283,0.2232,0
33.0,30.49,16.53,3.2294,0.2342,0
34.0,29.89,16.54,3.2299,0.2546,0
35.0,30.57,16.55,3.2379,0.2405,0
36.0,31.0,16.57,3.2482,0.2497,0
37.0,30.44,16.58,3.2194,0.2419,0
38.0,29.96,16.59,3.232,0.25,0
39.0,30.96,16.61,3.227,0.2517,0
40.0,30.93,16.63,3.2407,0.2542,0
41.0,30.53,16.64,3.2501,0.2563,0
42.0,30.62,16.65,3.237,0.241,0
43.0,31.06,16.67,3.239,0.2435,0
44.0,31.35,16.69,3.2287,0.243,0
45.0,31.15,16.71,3.2278,0.2418,0
46.0,30.73,16.73,3.2437,0.2396,0
47.0,30.69,16.74,3.2467,0.2409,0
48.0,31.48,16.76,3.2255,0.2382,0
49.0,31.61,16.78,3.2155,0.2314,0
50.0,31.46,16.8,3.2292,0.2663,0
51.0,31.31,16.82,3.2231,0.2584,0
52.0,31.2,16.84,3.2174,0.2504,0
53.0,30.92,16.85,3.2436,0.2525,0
54.0,30.93,16.87,3.2307,0.2517,0
55.0,31.5,16.89,3.2454,0.2369,0
56.0,31.93,16.91,3.252,0.2444,0
57.0,31.81,16.93,3.2444,0.2373,0
58.0,31.77,16.96,3.2422,0.2504,0
59.0,31.89,16.98,3.2258,0.24,0
60.0,32.01,17.0,3.2305,0.2374,0
61.0,32.26,17.03,3.2468,0.2514,0
62.0,32.56,17.06,3.2283,0.2449,0
63.0,31.84,17.08,3.224,0.2583,0
64.0,32.06,17.1,3.2354,0.2312,0
65.0,32.57,17.13,3.2267,0.2442,0
66.0,32.61,17.15,3.2138,0.2485,0
67.0,32.14,17.18,3.2267,0.2526,0
